"Feature","Type","Parish","GridRef","First","Second","Third","New","LIDAR","Notes","Group","Formation","Member","Reference"
"Bishops Limekiln","Kiln","Abbotsbury","SY 58791 85867","Limekiln (Disused0","Limekiln (Disused0",,"Limekiln (Disused)",,"Double timber lintel",,,,"Stanier PH (1993)"
"Bishops Limekiln Quarry","Chalk","Abbotsbury","SY 58753 85944","Quarry","Quarry",,"Outline",,"Chalk Pit 1 of White HJO (1936) ",,,,"Arkell WJ (1935) p 252"
"Blind Lane (Jubilee Coppice) Cutting","Ironstone","Abbotsbury","SY 57660 85552","Outline","Outline",,"Outline",,"Abbotsbury Ironstone, silica-rich. GCR site and SSSI",,,,"Arkell WJ (1935) pp 86-88, 357"
"Red Lane Quarry","Ironstone","Abbotsbury","SY 57492 85492","Outline","Outline",,"Outline",,"Abbotsbury Ironstone, silica-rich. DIGS",,,,"Arkell WJ (1935) pp 86-88, 357"
"Bincombe Hill Quarry","Chalk","Bincombe","SY 68900 84495",,,,"Outline",,"Quarry by cartway 270 yds E.S.E of Bincombe Church. RIGS and former SSSI (denotified 1987) https://dorsetrigs.org.uk/southwestrigs/bincombehill/","Selborne and Grey Chalk Subgroup","Upper Greensand and Zig Zag Chalk","Eggardon Grit",
"Bincombe Knoll",,"Bincombe","SY 67871 84884",,,,,"Visible","...scar, near the top of the escarpment round the head of the coomb on the east side of the neck of The Knoll","Portland","Portland Sand and Portland Stone","Corton Hill (Exogyra Beds, Scar Cementstone), Pondfield (Cast Beds) Gad Cliff (Black Dolomite Beds) and Portland Chert","Arkell WJ (1947) p 115"
"Bincombe Marsh Dairy",,"Bincombe","SY 68774 83673","Old Chalk Pit","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Bincombe Marsh Dairy",,"Bincombe","SY 68803 83641",,"Outline","Outline","Outline",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Bincombe Marsh Dairy",,"Bincombe","SY 68773 83705","Outline","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Bincombe Marsh Dairy",,"Bincombe","SY 68800 83743","Outline","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Bincombe Marsh Dairy",,"Bincombe","SY 68793 83812","Outline","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Bincombe Marsh Dairy",,"Bincombe","SY 68739 83811","Outline","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Chert",
